segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
181,61,27864,86296,149336,246632,342520,470592
181,62,32600,104656,174432,287232,394456,536520
181,63,35752,102440,170624,279496,393728,548112
182,0,57592,132360,214688,214888,214888,214888
182,1,81104,241520,266040,267176,267176,267176
182,2,81624,230384,270976,273640,273640,273640
182,3,94728,249240,337112,337064,337064,337064
182,4,69360,223656,354264,354360,354360,354360
182,5,65464,185456,293816,341272,341272,341272
182,6,60792,172048,274576,290000,290000,290000
182,7,64064,164640,219344,251080,249952,249952
182,8,27432,109816,169112,239632,298408,322736
182,9,70576,180392,317920,345512,345512,345512
182,10,77768,196144,325488,337992,337992,337992
182,11,78400,212512,406192,494600,494600,494600
182,12,75464,221984,394704,827784,834112,834112
182,13,73888,199216,325520,530320,873392,1312320
182,14,24160,123936,214008,333392,435400,521480
182,15,22448,103312,168096,249032,301464,330304
182,16,82264,230152,363776,564048,763272,1082864
182,17,214160,517544,775328,1174328,1622088,2369112
182,18,82680,283040,543864,981864,1487952,1785480
182,19,47200,180520,272320,388048,475184,503112
182,20,72416,205080,320192,516152,625928,645736
182,21,90728,227264,354096,546208,751064,1098000
182,22,64864,180712,282576,454056,528032,526312
182,23,66136,179648,323448,433152,433152,433152
182,24,48544,130832,211552,330896,446568,601056
182,25,89824,267336,430632,664224,885368,1181624
182,26,61752,198792,340192,549744,763016,1076832
182,27,63096,175768,302400,532064,833304,1426328
182,28,63728,189200,316920,504600,697888,957920
182,29,69448,194184,321688,504960,689352,921008
182,30,96504,270592,425280,654048,876280,1179536
182,31,84264,231112,357888,540192,703872,936384
182,32,87256,241784,375392,565824,748696,1001512
182,33,100640,281768,461072,721680,988192,1358808
182,34,30960,113272,197512,321456,447024,632296
182,35,62136,194296,331520,548960,765376,1052688
182,36,67400,207792,357752,585160,805360,1099192
182,37,59624,164208,276944,447320,622432,854688
182,38,48400,133784,220904,350912,474992,645416
182,39,32080,100752,166672,257744,335056,430288
182,40,109496,299592,500008,806408,1112128,1518256
182,41,85008,233720,373640,583232,781552,1057128
182,42,42176,151040,243680,377904,514128,697216
182,43,52016,158184,260512,407264,546904,768392
182,44,43208,114848,192760,303448,414520,565456
182,45,31432,86392,152032,249008,339232,446096
182,46,20224,54248,99088,171192,241976,332656
182,47,61160,174680,275568,413992,544576,703856
182,48,91464,252648,389040,588648,771936,1012112
