segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
132,24,62224,193456,323584,520904,741112,1124320
132,25,66376,214160,363304,589104,810800,1143480
132,26,48576,154744,264480,440200,624464,919888
132,27,57760,188968,327464,547528,769600,1114472
132,28,48144,141432,232432,370344,511896,654104
132,29,49656,165344,300336,505840,723632,1060544
132,30,38232,125528,226152,400568,574040,824080
132,31,48512,167960,299352,504432,725224,1114624
132,32,46912,148144,255912,424824,593040,828048
132,33,63472,191560,325408,522312,713200,992168
132,34,57648,168864,281344,454752,634168,893048
132,35,41608,133664,239120,397344,567648,784040
132,36,55464,171208,286624,457200,640024,864016
132,37,45240,162512,291240,485008,680896,924920
132,38,58368,194856,330984,533192,728232,1011376
132,39,45832,142056,244160,403288,574352,875440
132,40,53384,168904,283680,430296,658960,1014640
132,41,71112,203216,328480,502552,678952,912416
132,42,42992,133008,226152,368840,515520,720040
132,43,35792,135688,247032,424744,600320,834160
132,44,37144,122152,212088,356024,507144,675984
132,45,48208,159728,268792,442200,613488,788120
132,46,42328,135840,234824,373328,513304,690376
132,47,55552,171456,296272,469968,662496,995184
132,48,42984,119136,191016,295240,434488,676880
132,49,33736,112512,187512,280776,367680,462248
132,50,25392,112832,193328,284888,358728,396112
132,51,48688,156224,272608,454688,657008,818376
132,52,44416,131352,226536,333024,467784,554128
132,53,42048,134224,234008,370872,509384,609728
132,54,40072,123928,209840,325472,457456,602672
132,55,42552,120088,200392,309168,415800,535792
132,56,32984,102232,174664,270896,362288,463584
132,57,39560,128216,205896,321688,415672,503736
132,58,30640,112256,178240,272928,348552,407536
132,59,35952,124192,199976,304736,385984,462008
132,60,37016,126472,206312,318576,400840,465128
132,61,39368,137848,226224,355344,445792,546456
132,62,38536,132336,210872,332992,431384,529696
132,63,41504,129408,213480,337216,461536,612224
133,0,78864,206992,300784,371376,372016,372016
133,1,102032,245096,365840,471936,472224,472224
133,2,98392,249160,370896,464496,464112,464112
133,3,93288,232496,324592,369176,369176,369176
133,4,85072,194528,247768,251064,251064,251064
133,5,94096,236040,329984,375160,375160,375160
133,6,99656,252568,381632,511368,511368,511368
133,7,70016,188104,318352,560112,560408,560408
133,8,61624,162752,261304,348360,375296,375712
133,9,101720,228872,344600,463400,494240,494528
133,10,81920,198960,316184,432088,477352,477472
133,11,88432,188464,242608,298464,300424,300424
133,12,89664,245936,320624,348448,349360,349360
133,13,108408,266136,384944,480752,489840,489840
133,14,66480,162848,272472,532976,621544,621760
133,15,65856,180272,287672,431856,462560,462560
133,16,110968,286352,449496,719736,835504,835824
133,17,60568,160104,260368,379240,445144,456992
133,18,92200,222592,350000,502864,540304,542336
133,19,105224,246096,336400,372592,375480,375480
133,20,114880,274264,335088,360384,363120,363120
133,21,88920,213896,332912,510304,531328,531328
133,22,60864,186712,303736,463472,597432,617336
133,23,115608,293840,456088,724432,910320,911504
133,24,94264,255312,393704,587008,784600,1116416
133,25,96752,267928,415656,622072,827720,1127304
133,26,68256,176792,271696,416536,558032,715696
133,27,86896,229800,353888,547024,713376,949848
133,28,93120,245832,385712,583216,750376,985520
133,29,72520,181240,279688,426072,570672,740752
133,30,57104,146952,236952,363552,494960,680736
133,31,74912,205248,323728,493632,680528,993864
133,32,38168,106984,187632,307864,429256,603880
