segment,tile,level_0,level_1,level_2,level_3,level_4,level_5
66,4,40976,113664,157872,224384,296312,374552
66,5,37584,95352,142280,210768,284464,334536
66,6,43296,120080,179824,259088,336424,411472
66,7,36672,87816,127704,192928,269120,368768
66,8,52240,144760,225376,345912,494336,691408
66,9,74784,223400,374632,642064,1002040,1327976
66,10,54816,158192,259328,457104,783392,1059440
66,11,36704,99768,159360,241144,321968,434376
66,12,34624,86152,126296,172408,215184,262064
66,13,38192,93752,141880,199232,259368,259768
66,14,35272,94184,138720,193096,253176,254024
66,15,29448,84024,131280,189896,254880,344272
66,16,58640,175872,298104,485152,690408,1176464
66,17,77472,235816,414280,781832,1311864,1448416
66,18,80496,241632,421552,764696,1383848,1623624
66,19,60096,173952,285072,437584,602008,885032
66,20,41168,115792,189328,279040,355704,459496
66,21,37776,98704,142440,190144,234768,239792
66,22,31240,76952,109096,138752,162272,162616
66,23,31088,86528,129904,189248,235344,290768
66,24,55224,160888,273392,453720,650256,957720
66,25,50528,142064,230624,369720,508472,663352
66,26,53944,150784,246720,384440,519792,688352
66,27,66072,188792,307144,491344,669240,918488
66,28,68768,189080,310360,497664,677560,912248
66,29,41168,129904,225544,373976,529136,734168
66,30,48000,140776,238528,391048,560248,781672
66,31,42600,125424,212824,351928,493984,673144
66,32,70696,199424,325896,512856,692016,941776
66,33,23592,53568,88576,149488,218592,314392
66,34,29968,80840,137712,228968,318520,439280
66,35,56896,160736,270672,434432,590528,802072
66,36,75456,212448,349552,557120,758488,1030960
66,37,39464,120840,209520,338992,474504,655640
66,38,44680,134320,226960,373800,525824,724280
66,39,94408,288320,466040,713480,957360,1270856
66,40,62768,192888,335392,570688,808936,1154144
66,41,51352,153488,265176,458400,654168,937984
66,42,56520,171480,291992,474240,657552,916952
66,43,74272,213936,344040,521848,686256,924944
66,44,63576,190344,313544,497344,671640,909080
66,45,48216,146984,238024,362128,494080,660112
66,46,38952,124056,199792,297824,390672,509448
66,47,60688,193216,341776,573472,804800,1124272
66,48,71224,224824,414312,736256,1087440,1679208
66,49,64872,205376,381688,667392,1023176,1703368
66,50,71656,224976,385104,644808,911512,1361600
